img_path,top_category,top_color,bottom_category,bottom_color
..\object_detection\ClothesCategory_v9\test\images\17429354_jpg.rf.af053cee1f64af91241b584e3d1a0b6e.jpg,shortsleeve,dimgrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17454192_jpg.rf.2dbf6e1b7e9542fd1465c203c18543df.jpg,longsleeve,lightgrey,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\17464442_blurr_jpg.rf.86ce9ebe1e4ff7601277920329b131eb.jpg,shirt,gainsboro,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17465397_jpg.rf.67aaf5451833249aab469cd220834635.jpg,shortsleeve,black,shortpants,midnightblue
..\object_detection\ClothesCategory_v9\test\images\17499605_jpg.rf.3a57e49ea65c0ab1601feb98fd871aa3.jpg,longsleeve,darkslategrey,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\17501085_jpg.rf.cbcbb54135815c1e3b873e2395c24e91.jpg,mtm,lightseagreen,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17522995_jpg.rf.209436822a4e37a76a61cb9bf826ebab.jpg,shortsleeve,darkgrey,cottonpants,rosybrown
..\object_detection\ClothesCategory_v9\test\images\17532745_jpg.rf.c355f06a159f645c100b87d878afab38.jpg,shortsleeve,darkgrey,skirt,midnightblue
..\object_detection\ClothesCategory_v9\test\images\17563936_jpg.rf.db778938eedd53b0e4bada01ba81996c.jpg,shirt,gainsboro,shortpants,darkolivegreen
..\object_detection\ClothesCategory_v9\test\images\17594073_jpg.rf.6844cac367040cd27686184b086b3262.jpg,shortsleeve,darkslategrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17668076_jpg.rf.8f639b0e087b0ea178d711e1615711c8.jpg,longsleeve,grey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17683855_jpg.rf.fd85da9227a2a34e519e8152f4d5dc3e.jpg,shirt,darkslategrey,shortpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\17686952_jpg.rf.abb911f6cd0219c4ed990b0e61e77744.jpg,shortsleeve,dimgrey,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\17687036_jpg.rf.be9853e5abb0926222da69fa5742395e.jpg,longsleeve,black,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\17687636_jpg.rf.3088a34fecd6486214c579dfd27ef7ba.jpg,shirt,rosybrown,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17723857_jpg.rf.9d7b4d4f8f2d58d7c355c68b14c3afae.jpg,blazer,dimgrey,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\17740272_blurr_jpg.rf.4db74db88f6d65f2075dca6f55951222.jpg,shortsleeve,darkslategrey,shortpants,lightgrey
..\object_detection\ClothesCategory_v9\test\images\17745967_jpg.rf.900ffb5c781ace15b75e6635320e69b7.jpg,shirt,grey,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\17773323_jpg.rf.0b6fde950a9994b847a2e2080464a6a7.jpg,shortsleeve,black,skirt,tan
..\object_detection\ClothesCategory_v9\test\images\17777482_blurr_jpg.rf.ad33fc4d386fbe4d8090b5ef5042b69c.jpg,shirt,lightgrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17784173_jpg.rf.64d41df1d30ae75c17bdb716601c0ce9.jpg,shirt,lightsteelblue,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17813212_blurr_jpg.rf.ac911053ec1d746bf4f5622bd0705223.jpg,shortsleeve,lightgrey,shortpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\17816095_blurr_jpg.rf.f80d3fe30d771a292b6faef086267826.jpg,shortsleeve,cornflowerblue,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17829959_blurr_jpg.rf.970a6573c51285a4b76f1f48c8272c2b.jpg,shortsleeve,cornflowerblue,shortpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\17855385_jpg.rf.4cfdb58c3e2c7bf883ceab273227f155.jpg,longsleeve,silver,shortpants,midnightblue
..\object_detection\ClothesCategory_v9\test\images\17864899_jpg.rf.b4e3279504cab3eb8375be30ef81b9f7.jpg,mtm,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17895259_jpg.rf.f425cbcf1aa9ab643c13b8c069ba1bb4.jpg,shortsleeve,black,shortpants,rosybrown
..\object_detection\ClothesCategory_v9\test\images\17895575_jpg.rf.fc8420c3ac71f53f15adb410c84b9978.jpg,shirt,lightslategrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17906869_jpg.rf.2e584387700568651230dcaa67f6e122.jpg,blazer,lightgrey,denimpants,powderblue
..\object_detection\ClothesCategory_v9\test\images\17914961_blurr_jpg.rf.87fa6faa84f47ae0e2643aaef0307981.jpg,shirt,lightsteelblue,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17928134_jpg.rf.660d8262fd6aefa9fe2fa53d431998da.jpg,shirt,black,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\17936528_blurr_jpg.rf.8270b4e169080c5f0bc0e346de1954b2.jpg,jacket,black,skirt,sienna
..\object_detection\ClothesCategory_v9\test\images\17942838_blurr_jpg.rf.e1efd39f1f9a797483414eddf4b075a6.jpg,shortsleeve,lightsteelblue,shortpants,lightslategrey
..\object_detection\ClothesCategory_v9\test\images\17949889_jpg.rf.ba15a08c5afc82f7789928da1ab60197.jpg,longsleeve,silver,skirt,darkgrey
..\object_detection\ClothesCategory_v9\test\images\17970905_blurr_jpg.rf.db46a3a0e3af0acae7a5793dd6a44542.jpg,longsleeve,silver,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17986181_jpg.rf.e8cac634fbb257076b7a83f328a35cbc.jpg,hoodies,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\18003104_blurr_jpg.rf.58762bd41e42d4d03eec040b7a1367ef.jpg,longsleeve,lightsteelblue,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\18012925_jpg.rf.fe26ba84fa959df0caf74f6caeee1c3d.jpg,mtm,darkslategrey,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\18023100_jpg.rf.5eb2f48a4858b52716ffd2f1d4925932.jpg,shortsleeve,slategrey,shortpants,slategrey
..\object_detection\ClothesCategory_v9\test\images\18025669_blurr_jpg.rf.3979acb7e5fa3bbe450c3f5c672ba469.jpg,shortsleeve,darkgrey,shortpants,midnightblue
..\object_detection\ClothesCategory_v9\test\images\18067188_jpg.rf.867e6657d3bbc3701d93d2130dcd49e7.jpg,shortsleeve,darkgrey,shortpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\18082621_jpg.rf.c88ff35ab343da1440e082c8342bd94d.jpg,longsleeve,darkslategrey,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\18178940_jpg.rf.2b1176a34b2fa31b704030de72dc0168.jpg,padding,darkslategrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\18205172_jpg.rf.3ce1d557969fd122d4797b8a04e3a8fc.jpg,mtm,darkgreen,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\18217201_blurr_jpg.rf.dd99d70bbd71ae2de0799907078001fb.jpg,shirt,black,shortpants,lavender
..\object_detection\ClothesCategory_v9\test\images\18235523_jpg.rf.3f8a093b70f1140dbfdba0426d940a77.jpg,shortsleeve,antiquewhite,cottonpants,black
..\object_detection\ClothesCategory_v9\test\images\18245064_blurr_jpg.rf.939696876521b6bf6d7ffd830bcaa3fd.jpg,shortsleeve,black,shortpants,rosybrown
..\object_detection\ClothesCategory_v9\test\images\18276155_jpg.rf.6316de5150ea7deb019612a5d443bb4d.jpg,shortsleeve,dimgrey,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\18288148_jpg.rf.04918f6fe01213ad66912c575bcc99db.jpg,shortsleeve,black,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\18299022_jpg.rf.b89055b7e84f7e5e911636ad8e3d7b4c.jpg,shirt,lightslategrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\18347969_jpg.rf.9fd17f34833feb9d6a4ba07f8924a5e2.jpg,shortsleeve,lavender,shortpants,rosybrown
..\object_detection\ClothesCategory_v9\test\images\18370783_blurr_jpg.rf.7c1f2c858bcb602f93933939f9e5390f.jpg,shortsleeve,lightslategrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\18411639_jpg.rf.27857795692c6f8c25c9de9dbe13d62e.jpg,shortsleeve,midnightblue,shortpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\18445391_blurr_jpg.rf.53bab811f241ae5b834072cf638378e5.jpg,shortsleeve,dimgrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\18462624_jpg.rf.1e2b8893f2f2b44f43486ec8892d8010.jpg,shortsleeve,lavender,shortpants,lightsteelblue
..\object_detection\ClothesCategory_v9\test\images\18482537_blurr_jpg.rf.1adffad22327f5787e542bc6e21b05ac.jpg,mtm,papayawhip,shortpants,blanchedalmond
..\object_detection\ClothesCategory_v9\test\images\18487433_blurr_jpg.rf.1286d5707fa99e816cc1d204e6a58496.jpg,shortsleeve,brown,shortpants,lightslategrey
..\object_detection\ClothesCategory_v9\test\images\18556138_blurr_jpg.rf.5730c96665a4bf638590726c2c116f86.jpg,shortsleeve,black,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\18556895_jpg.rf.c83664209d1090d8640a7fcb8f1e7934.jpg,shortsleeve,darkgrey,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\18559669_jpg.rf.074ac77c43bb16b589be149808c83983.jpg,shirt,lightsteelblue,shortpants,gainsboro
..\object_detection\ClothesCategory_v9\test\images\18629804_blurr_jpg.rf.97010fa74dd091ba3a56a62d3d2ce78a.jpg,shortsleeve,tan,shortpants,peru
..\object_detection\ClothesCategory_v9\test\images\18636474_jpg.rf.7d4850b60affbda85692dc255c9dc5c8.jpg,longsleeve,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\18691564_jpg.rf.b16d710c6008f2bb665a4ceeac989a81.jpg,shortsleeve,darkslategrey,skirt,slategrey
..\object_detection\ClothesCategory_v9\test\images\18770407_jpg.rf.2c9560513d362a51e8ec1139f9592a89.jpg,coat,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\18792610_jpg.rf.047e11fac88a965f650fec950dbbb8ed.jpg,shortsleeve,gainsboro,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\18816205_jpg.rf.f897534ea2039070c79edd3d5c4fcf0c.jpg,shirt,darkgrey,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\18822920_blurr_jpg.rf.391c868e195c248192e8603643c8832d.jpg,shortsleeve,black,shortpants,sienna
..\object_detection\ClothesCategory_v9\test\images\18912324_blurr_jpg.rf.f3241ccb7f9a2fd6bd92abd9442fac07.jpg,shirt,darkgrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\18962799_jpg.rf.99046a5c5bce2dd8159c04e5976fb9aa.jpg,shortsleeve,black,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\18982351_blurr_jpg.rf.405b81339e391a941739aa526d7f255b.jpg,shortsleeve,thistle,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\19047823_jpg.rf.6eae98cc7da9b18bbf717842d3ca635f.jpg,shortsleeve,grey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\19123288_blurr_jpg.rf.685e4ab6541d0191ba9d21e92cdfd223.jpg,shortsleeve,lightsteelblue,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\19147822_jpg.rf.08eed9455a56d58f467375f3cf077eb5.jpg,padding,lightgrey,cottonpants,grey
..\object_detection\ClothesCategory_v9\test\images\19171515_jpg.rf.234ed95cee5156ad348713a59c04998a.jpg,longsleeve,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\19186474_jpg.rf.2d6f6330297bffaa8302d2178dd3d553.jpg,shortsleeve,black,skirt,lightgrey
..\object_detection\ClothesCategory_v9\test\images\19188285_jpg.rf.e6c3cb208d40900840b38ff62b386f74.jpg,shortsleeve,black,shortpants,lightsteelblue
..\object_detection\ClothesCategory_v9\test\images\19218293_blurr_jpg.rf.dd16f1b2696cb751c44f14f253c29ef9.jpg,shirt,lightsteelblue,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\19230827_blurr_jpg.rf.0f502fd4bcb6849561d942cb7e6de71c.jpg,longsleeve,black,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\19252842_jpg.rf.9f7293193d6edbabee6541ea36b6718b.jpg,shortsleeve,lightsteelblue,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\19292912_jpg.rf.325028c2575acb52f1668d61672e3416.jpg,longsleeve,darkgrey,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\19299748_jpg.rf.4368570aef55642830dfd6f67a2326b0.jpg,shortsleeve,black,cottonpants,grey
..\object_detection\ClothesCategory_v9\test\images\19325765_jpg.rf.1ecd0cd4c2c7588447ffabd7c8cee416.jpg,jacket,dimgrey,skirt,gainsboro
..\object_detection\ClothesCategory_v9\test\images\19392353_jpg.rf.450b97afb3d395b6f131c79b4ff085ee.jpg,cardigan,black,cottonpants,black
..\object_detection\ClothesCategory_v9\test\images\19472624_jpg.rf.9b30e60c6f5f84f2298a49c872338f03.jpg,mtm,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\19478333_jpg.rf.5ecbecc99c4753062828e096b9c3f5a1.jpg,cardigan,darkslategrey,skirt,grey
..\object_detection\ClothesCategory_v9\test\images\19529104_blurr_jpg.rf.5e6d159912e6929acf3a6d3a7d3e4693.jpg,mtm,silver,skirt,grey
..\object_detection\ClothesCategory_v9\test\images\19569435_jpg.rf.319edd8ff264af7c04f7b70e8e647154.jpg,zipup,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\19590066_jpg.rf.69b84e4e69d6cb353b07ba22da142836.jpg,mtm,black,cottonpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\19614536_jpg.rf.b26cc88d5c2e6531e81d48d6c3f9086c.jpg,cardigan,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\19680114_jpg.rf.eda396369ffec87529592334012d5154.jpg,cardigan,darkslategrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\19720407_jpg.rf.9125d4a6a48c2c38703b063b85ecb7e6.jpg,sweater,black,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\19768243_blurr_jpg.rf.67b0f4b43f65c4d8f3b311c9597ea4ec.jpg,mtm,slategrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\19793249_blurr_jpg.rf.520850bf6519102923cea1ac3e17439a.jpg,shortsleeve,grey,shortpants,midnightblue
..\object_detection\ClothesCategory_v9\test\images\19837930_jpg.rf.7db454c30e601adbb27b0282a99c6a1c.jpg,hoodies,silver,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\19853915_jpg.rf.5a74e54bf38fb5d27c789a0364b7be8a.jpg,mtm,black,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\19865473_jpg.rf.ebe2963f2faf944955840b20acb3f080.jpg,jacket,maroon,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\19880704_jpg.rf.73e3a3084167db2ce4ac3d34d9334d10.jpg,shortsleeve,lightsteelblue,shortpants,lightsteelblue
..\object_detection\ClothesCategory_v9\test\images\19909813_jpg.rf.91224bd9fa26ad4300052388a3a31a74.jpg,sweater,darkslategrey,skirt,black
..\object_detection\ClothesCategory_v9\test\images\19927736_blurr_jpg.rf.f8120b7cfdccd8b535f65efdb5f16a91.jpg,cardigan,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\19931550_blurr_jpg.rf.a5b00d4df5e96a71d491d54142a43ee9.jpg,cardigan,grey,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\19950873_jpg.rf.6876544decf0fb0ec5030f43af5df8c8.jpg,longsleeve,lightgrey,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\20010314_jpg.rf.0a690c85287f17c1296cc9d1eee99d06.jpg,mtm,grey,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\20026907_blurr_jpg.rf.d4c5bac30d62508949b8f46409c3fe16.jpg,mtm,saddlebrown,slacks,black
..\object_detection\ClothesCategory_v9\test\images\20043959_jpg.rf.a428d6523b80c96371724e025d86b30b.jpg,mtm,darkslategrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\20049992_jpg.rf.44afea52bf2064e605aec2aec9693ab8.jpg,shortsleeve,gainsboro,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\20086692_jpg.rf.3dbd657b649407dc9625583c9cef88bd.jpg,mtm,darkgrey,skirt,lightgrey
..\object_detection\ClothesCategory_v9\test\images\20090669_blurr_jpg.rf.743b8eef67e21d747453711ec18c9a2e.jpg,shortsleeve,black,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\20100307_jpg.rf.e5d955ae8694133779f9f5fc6a168388.jpg,shortsleeve,darkslategrey,shortpants,silver
..\object_detection\ClothesCategory_v9\test\images\20197767_jpg.rf.3ae12ff7ad3b437ac292e92b0d42a2b3.jpg,mtm,darkslategrey,denimpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\20199801_blurr_jpg.rf.81e5b1686f4bcb04bc09ac27a94b033e.jpg,shortsleeve,black,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\20217878_jpg.rf.60bd15494e03cbb522843c83b28c8bd5.jpg,shortsleeve,black,trainingpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\20253013_jpg.rf.d4fd11f95ba95482a2d27ab00f21e4ae.jpg,jacket,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\20314013_jpg.rf.6ae38c8f1123df678f3dda36b145768d.jpg,longsleeve,grey,skirt,darkolivegreen
..\object_detection\ClothesCategory_v9\test\images\20327107_blurr_jpg.rf.9140480ff8e8287d1387c175c9952657.jpg,cardigan,gainsboro,slacks,beige
..\object_detection\ClothesCategory_v9\test\images\20338130_blurr_jpg.rf.1ddced814189bf60d45d3e8ebf9d80ff.jpg,shortsleeve,lavender,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\20365135_jpg.rf.a05efcdf0cd6e435ff0db23c8c81ea7a.jpg,hoodies,darkslategrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\20382671_jpg.rf.a33d45acffbae7ccb617a0f1c60050fe.jpg,hoodies,black,shortpants,silver
..\object_detection\ClothesCategory_v9\test\images\20495431_blurr_jpg.rf.db8e3f5e75b8932497b4980e8d41afa6.jpg,cardigan,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\20508853_jpg.rf.b6484620f6c490686a6d40b126c1b0d1.jpg,blazer,darkslategrey,skirt,black
..\object_detection\ClothesCategory_v9\test\images\20529892_jpg.rf.caf77d858f87113ac8c5464b08d06598.jpg,shirt,grey,trainingpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\20540116_blurr_jpg.rf.a65acd486793ac191998d5b2da81d9d2.jpg,jacket,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\20541504_jpg.rf.48231ec8b0e19a7ce80f13b366805b3e.jpg,blazer,grey,denimpants,lightslategrey
..\object_detection\ClothesCategory_v9\test\images\20613553_jpg.rf.1f901dc4289ea1d1eabb371e91e0773b.jpg,zipup,black,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\20614414_jpg.rf.e01d82a9738bf191c0169d5dac4fb232.jpg,longsleeve,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\20651272_jpg.rf.660e7a3a559baa1bc800e77f20eeb826.jpg,blazer,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\20652263_jpg.rf.360f5da93045f9e9a1fe32f9d4a9deae.jpg,shortsleeve,lightsteelblue,skirt,slategrey
..\object_detection\ClothesCategory_v9\test\images\20680537_jpg.rf.4f5610f416d97416fc0d2f8fc6e1a177.jpg,coat,black,trainingpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\20820229_jpg.rf.b86add53abd2a836f3a4e771b79a4abb.jpg,padding,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\20838167_jpg.rf.7ea52ef480c9403bc7223847653034f4.jpg,shirt,black,cottonpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\20847366_jpg.rf.639136ffb2ea7a9d8d81b58d1a971cad.jpg,shirt,grey,skirt,darkgrey
..\object_detection\ClothesCategory_v9\test\images\20858971_jpg.rf.898115c090797442c92970db056e992f.jpg,shirt,grey,skirt,black
..\object_detection\ClothesCategory_v9\test\images\20886958_jpg.rf.3989357ccbd545c6d2eb8593814a2676.jpg,longsleeve,grey,skirt,black
..\object_detection\ClothesCategory_v9\test\images\20893757_blurr_jpg.rf.84d785ea19173a3e372528e3c3d6b53a.jpg,shortsleeve,white,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\20895540_jpg.rf.bf9eb0c9c1212c078e17628678692097.jpg,mtm,grey,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\20938311_jpg.rf.2059b273bca23ea28c3e35c8b0d775f1.jpg,shirt,powderblue,skirt,black
..\object_detection\ClothesCategory_v9\test\images\21050322_jpg.rf.9c1ca30418a802a1311ba24d4b506fe1.jpg,shirt,black,shortpants,darkolivegreen
..\object_detection\ClothesCategory_v9\test\images\21097804_jpg.rf.e305092eb856ee3fa97586f8991a015a.jpg,blazer,darkslategrey,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\21103511_blurr_jpg.rf.2ab9a35cddb0e7f4a9ddd70cc4130b6d.jpg,jacket,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\21114216_jpg.rf.f013470462c7871835c0ad2486e2c4ba.jpg,mtm,lightsteelblue,trainingpants,maroon
..\object_detection\ClothesCategory_v9\test\images\21130937_jpg.rf.53b15ea6687abf8937988f5999db825d.jpg,cardigan,darkslategrey,cottonpants,silver
..\object_detection\ClothesCategory_v9\test\images\21133814_jpg.rf.1326f27a92396853de083a6d270b0d45.jpg,sweater,lightslategrey,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\21161519_jpg.rf.d055a9fe52460af832dff99b0dfc0167.jpg,padding,peru,slacks,sienna
..\object_detection\ClothesCategory_v9\test\images\21318718_jpg.rf.90960b26617020bd4a20477afd61487b.jpg,padding,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\21323472_jpg.rf.04ee3828f65f1f7718b8e8d4764d522d.jpg,jacket,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\21329523_jpg.rf.fa9fa3fc8e04e9dc0c152d17a53e4484.jpg,shirt,silver,skirt,black
..\object_detection\ClothesCategory_v9\test\images\21412140_jpg.rf.1175155f5a9cdb8995cd20915ddb17f2.jpg,cardigan,darkgrey,skirt,black
..\object_detection\ClothesCategory_v9\test\images\21429256_jpg.rf.f8a28e70de7bedf0775925e91d19839c.jpg,sweater,gainsboro,skirt,black
..\object_detection\ClothesCategory_v9\test\images\21429528_blurr_jpg.rf.b1c82d75e7d633f9ce13edce347c0ecd.jpg,coat,darkslategrey,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\21465699_jpg.rf.d6b24fb8f25d7cd76d208a9754806238.jpg,shirt,dimgrey,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\21477131_jpg.rf.fb72cdadeceecfdae934e054bc63d10c.jpg,jacket,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\21487817_blurr_jpg.rf.d1f0549e46eeae48bc2aae4d26211267.jpg,sweater,tan,skirt,black
..\object_detection\ClothesCategory_v9\test\images\21553227_jpg.rf.4282eabf9465a838fc081ec1e60b580e.jpg,jacket,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\21586007_jpg.rf.c61aec68874da43876e5feb887abc023.jpg,jacket,darkslategrey,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\21590527_blurr_jpg.rf.38d6632e24968a8a14ac9943d184d8a4.jpg,jacket,lightgrey,skirt,dimgrey
..\object_detection\ClothesCategory_v9\test\images\21793009_jpg.rf.596a5fdb5248dba2e501ff28641a134b.jpg,coat,darkslategrey,slacks,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\21803838_jpg.rf.47f6a98610894ab760b69663079de3ac.jpg,hoodies,darkslategrey,skirt,black
..\object_detection\ClothesCategory_v9\test\images\21818814_jpg.rf.563890e71e4bfe1751388b0abf296d50.jpg,shirt,silver,cottonpants,grey
..\object_detection\ClothesCategory_v9\test\images\21839495_jpg.rf.9c6d032ca040059dfadc841eb3f326e9.jpg,mtm,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\2185687_jpg.rf.5fc9b8d5af09202461623168b89d18ea.jpg,blazer,saddlebrown,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\21906188_jpg.rf.f70285ba87e63424f3c054a3f520a686.jpg,longsleeve,darkgrey,cottonpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\21924549_blurr_jpg.rf.c7600375993d98d7ccdf74478ef99a2b.jpg,hoodies,dimgrey,trainingpants,grey
..\object_detection\ClothesCategory_v9\test\images\21981768_jpg.rf.10276f01dd70794e12c015f1afb898bb.jpg,jacket,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\22041781_blurr_jpg.rf.8679546aa2ea58d9c7f4b773d9bb4142.jpg,padding,black,trainingpants,black
..\object_detection\ClothesCategory_v9\test\images\22058502_jpg.rf.a8c00810f592c2be0b67ee3bfa04b3dc.jpg,longsleeve,gainsboro,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\22081110_jpg.rf.48ae30e77a150528507a7064f5120e8e.jpg,padding,bisque,skirt,grey
..\object_detection\ClothesCategory_v9\test\images\22117523_jpg.rf.f84f4523a5e3c143e1d927944ed78a51.jpg,shortsleeve,grey,cottonpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\22171021_jpg.rf.4d5d5ba7ff15ebaf8b284012570dde8e.jpg,coat,silver,slacks,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\22181704_jpg.rf.496a5e714e6ce0fdc48dcdea80c49681.jpg,sweater,white,skirt,black
..\object_detection\ClothesCategory_v9\test\images\22198084_blurr_jpg.rf.27b47c8e0e55ebccb317ee37f406a2f2.jpg,longsleeve,silver,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\22211198_jpg.rf.ec705b01e8fc744d420438834ddc0056.jpg,longsleeve,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\22274636_jpg.rf.2ab807aaa135223e12a3bd249ca08184.jpg,shortsleeve,gainsboro,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\22287690_jpg.rf.72ed88f352418b1c802e997f3ae2b241.jpg,shirt,lightgrey,cottonpants,grey
..\object_detection\ClothesCategory_v9\test\images\22312683_jpg.rf.05f303fa7e636367ccee03e9a490f232.jpg,sweater,lightsteelblue,skirt,black
..\object_detection\ClothesCategory_v9\test\images\22380924_jpg.rf.5c219121d5c0dea6f1dad418ab47817a.jpg,mtm,darkslategrey,skirt,silver
..\object_detection\ClothesCategory_v9\test\images\22526705_jpg.rf.b15d9964022d6db63874b3dfe593dd8b.jpg,shortsleeve,black,skirt,grey
..\object_detection\ClothesCategory_v9\test\images\22530906_jpg.rf.c69d696f640ecc21e6009ad8d1898f6a.jpg,zipup,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\22547089_jpg.rf.b5c8f55df996f3e96f6323c66fbfe221.jpg,padding,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\22561882_jpg.rf.c294497b5f120d86323798b93cf91e69.jpg,padding,black,trainingpants,black
