img_path,top_category,top_color,bottom_category,bottom_color,top_color_cluster,bottom_color_cluster
..\object_detection\ClothesCategory_v9\test\images\16945043_jpg.rf.c819483b2677a4820a0f1d56212f3d57.jpg,shortsleeve,xkcd:cloudy blue,shortpants,xkcd:medium grey,76,21
..\object_detection\ClothesCategory_v9\test\images\16948499_jpg.rf.3e178293822f2e47df735b141a61d69e.jpg,shortsleeve,xkcd:charcoal,shortpants,xkcd:teal blue,49,2
..\object_detection\ClothesCategory_v9\test\images\16961771_jpg.rf.eb54c82d5f7b4e483ea223256ad4dbb9.jpg,shirt,xkcd:grey,shortpants,xkcd:silver,70,-1
..\object_detection\ClothesCategory_v9\test\images\17018290_blurr_jpg.rf.7eca8e7c8a74a010a2cb51ac1921a071.jpg,mtm,xkcd:dark,shortpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17027004_jpg.rf.2263b33db9c8fbc89c862a1125458e09.jpg,shortsleeve,xkcd:almost black,denimpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17036426_blurr_jpg.rf.2b94ef068fc8a35215cc0d16da919e4a.jpg,shortsleeve,xkcd:silver,skirt,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17057426_jpg.rf.9acf7bc97f12cd322ce308eb59fe05b2.jpg,shortsleeve,xkcd:warm grey,shortpants,xkcd:dark grey,70,49
..\object_detection\ClothesCategory_v9\test\images\17103502_jpg.rf.884019155a96a456fca626b70f59d8ef.jpg,shirt,xkcd:slate grey,skirt,xkcd:dark,36,-1
..\object_detection\ClothesCategory_v9\test\images\17108789_blurr_jpg.rf.377ea26ec1949c1d491a72a6d699c800.jpg,cardigan,xkcd:dark,denimpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\1710959_jpg.rf.e5f9aec03dbf730d1629920cbdec8873.jpg,padding,xkcd:dark,slacks,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17111784_blurr_jpg.rf.e26d7cb7f8644220f983d6c43fb76955.jpg,jacket,xkcd:light grey,slacks,xkcd:slate grey,-1,36
..\object_detection\ClothesCategory_v9\test\images\17159600_jpg.rf.b28f3a2ff773c0e75cd7bfebf70c1720.jpg,shortsleeve,xkcd:warm grey,shortpants,xkcd:almost black,70,-1
..\object_detection\ClothesCategory_v9\test\images\17181156_blurr_jpg.rf.ef9e72f73efacd35a1935b0c9f7d672b.jpg,longsleeve,xkcd:dark,shortpants,xkcd:grey,-1,70
..\object_detection\ClothesCategory_v9\test\images\17209878_jpg.rf.95e90a88e740cbdc2032ead54494a133.jpg,shortsleeve,xkcd:dark slate blue,shortpants,xkcd:dark grey,72,49
..\object_detection\ClothesCategory_v9\test\images\17213924_jpg.rf.465d80c51806d18fcc75a86bbb20ece8.jpg,shirt,xkcd:navy,shortpants,xkcd:steel,38,12
..\object_detection\ClothesCategory_v9\test\images\17239948_blurr_jpg.rf.769922958a5a31270fe08ba95620075a.jpg,shirt,xkcd:cloudy blue,shortpants,xkcd:navy,76,38
..\object_detection\ClothesCategory_v9\test\images\17241001_jpg.rf.0c684281cdc1d94e2c1130cb97313b1b.jpg,shortsleeve,xkcd:dark,shortpants,xkcd:very light brown,-1,14
..\object_detection\ClothesCategory_v9\test\images\17269423_jpg.rf.042ce2cd267adecf899c9d7231781ddc.jpg,shortsleeve,xkcd:very light pink,shortpants,xkcd:light grey,9,-1
..\object_detection\ClothesCategory_v9\test\images\17285474_blurr_jpg.rf.bf9d86aa1847dc0216e9866dbb3ad0c7.jpg,shortsleeve,xkcd:pale grey,shortpants,xkcd:dusk blue,9,36
..\object_detection\ClothesCategory_v9\test\images\17288337_jpg.rf.f7530355701ae824d024b5b883240c1c.jpg,zipup,xkcd:bluey grey,shortpants,xkcd:black,19,-1
..\object_detection\ClothesCategory_v9\test\images\17295600_jpg.rf.c07d49bbe75a42bb67271eb746e8ceed.jpg,shortsleeve,xkcd:black,shortpants,xkcd:cool grey,-1,19
..\object_detection\ClothesCategory_v9\test\images\17316179_jpg.rf.a9f5284c21c8a469d5ad8dbca0cb903c.jpg,shortsleeve,xkcd:greyish,shortpants,xkcd:dark,14,-1
..\object_detection\ClothesCategory_v9\test\images\17350466_blurr_jpg.rf.942b786ed182e3bfec259d94c34aefcc.jpg,shortsleeve,xkcd:almost black,shortpants,xkcd:pinkish grey,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17351292_jpg.rf.b70c7408842b62521dea9d56ad02e173.jpg,shortsleeve,xkcd:grey blue,denimpants,xkcd:midnight,12,38
..\object_detection\ClothesCategory_v9\test\images\17366199_jpg.rf.6218c47e855371cd806839ffd524a90c.jpg,shirt,xkcd:purplish grey,shortpants,xkcd:purplish grey,21,21
..\object_detection\ClothesCategory_v9\test\images\17397994_jpg.rf.8e4c320327e92023b9cee714a3aeca58.jpg,shirt,xkcd:light grey blue,shortpants,xkcd:purple brown,76,15
..\object_detection\ClothesCategory_v9\test\images\17422142_blurr_jpg.rf.56035a0ca7d18387844e42a3dd94774a.jpg,shortsleeve,xkcd:light blue grey,shortpants,xkcd:silver,76,-1
..\object_detection\ClothesCategory_v9\test\images\17422428_blurr_jpg.rf.91f23ae892838ba360cce482db24501c.jpg,shortsleeve,xkcd:marine,shortpants,xkcd:steel,36,12
..\object_detection\ClothesCategory_v9\test\images\17422495_blurr_jpg.rf.379155f60aa83a7853997702d1a81e5c.jpg,shirt,xkcd:navy,shortpants,xkcd:black,38,-1
..\object_detection\ClothesCategory_v9\test\images\17424819_blurr_jpg.rf.9eb0d78a328f4becf2661020028c097e.jpg,shirt,xkcd:silver,shortpants,xkcd:black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17429354_jpg.rf.af053cee1f64af91241b584e3d1a0b6e.jpg,shortsleeve,xkcd:purplish brown,shortpants,xkcd:dark,15,-1
..\object_detection\ClothesCategory_v9\test\images\17454192_jpg.rf.2dbf6e1b7e9542fd1465c203c18543df.jpg,longsleeve,xkcd:silver,shortpants,xkcd:warm grey,-1,70
..\object_detection\ClothesCategory_v9\test\images\17464442_blurr_jpg.rf.86ce9ebe1e4ff7601277920329b131eb.jpg,shirt,xkcd:light grey,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17465397_jpg.rf.67aaf5451833249aab469cd220834635.jpg,shortsleeve,xkcd:almost black,shortpants,xkcd:marine,-1,36
..\object_detection\ClothesCategory_v9\test\images\17499605_jpg.rf.3a57e49ea65c0ab1601feb98fd871aa3.jpg,longsleeve,xkcd:dark,shortpants,xkcd:dark grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\17501085_jpg.rf.cbcbb54135815c1e3b873e2395c24e91.jpg,mtm,xkcd:tealish,shortpants,xkcd:almost black,75,-1
..\object_detection\ClothesCategory_v9\test\images\17522995_jpg.rf.209436822a4e37a76a61cb9bf826ebab.jpg,shortsleeve,xkcd:greyish,cottonpants,xkcd:stone,14,14
..\object_detection\ClothesCategory_v9\test\images\17532745_jpg.rf.c355f06a159f645c100b87d878afab38.jpg,shortsleeve,xkcd:bluey grey,skirt,xkcd:dark,19,-1
..\object_detection\ClothesCategory_v9\test\images\17563936_jpg.rf.db778938eedd53b0e4bada01ba81996c.jpg,shirt,xkcd:light grey,shortpants,xkcd:purplish brown,-1,15
..\object_detection\ClothesCategory_v9\test\images\17594073_jpg.rf.6844cac367040cd27686184b086b3262.jpg,shortsleeve,xkcd:dark,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17668076_jpg.rf.8f639b0e087b0ea178d711e1615711c8.jpg,longsleeve,xkcd:brownish grey,shortpants,xkcd:dark,17,-1
..\object_detection\ClothesCategory_v9\test\images\17683855_jpg.rf.fd85da9227a2a34e519e8152f4d5dc3e.jpg,shirt,xkcd:dark,shortpants,xkcd:bluey grey,-1,19
..\object_detection\ClothesCategory_v9\test\images\17686952_jpg.rf.abb911f6cd0219c4ed990b0e61e77744.jpg,shortsleeve,xkcd:grey brown,shortpants,xkcd:greyish brown,17,17
..\object_detection\ClothesCategory_v9\test\images\17687036_jpg.rf.be9853e5abb0926222da69fa5742395e.jpg,longsleeve,xkcd:dark,shortpants,xkcd:dark grey blue,-1,72
..\object_detection\ClothesCategory_v9\test\images\17687636_jpg.rf.3088a34fecd6486214c579dfd27ef7ba.jpg,shirt,xkcd:cement,shortpants,xkcd:dark,14,-1
..\object_detection\ClothesCategory_v9\test\images\17723857_jpg.rf.9d7b4d4f8f2d58d7c355c68b14c3afae.jpg,blazer,xkcd:greyish brown,denimpants,xkcd:dark grey blue,17,72
..\object_detection\ClothesCategory_v9\test\images\17740272_blurr_jpg.rf.4db74db88f6d65f2075dca6f55951222.jpg,shortsleeve,xkcd:dark,shortpants,xkcd:light grey,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17745967_jpg.rf.900ffb5c781ace15b75e6635320e69b7.jpg,shirt,xkcd:medium grey,shortpants,xkcd:warm grey,21,70
..\object_detection\ClothesCategory_v9\test\images\17773323_jpg.rf.0b6fde950a9994b847a2e2080464a6a7.jpg,shortsleeve,xkcd:almost black,skirt,xkcd:very light brown,-1,14
..\object_detection\ClothesCategory_v9\test\images\17777482_blurr_jpg.rf.ad33fc4d386fbe4d8090b5ef5042b69c.jpg,shirt,xkcd:light grey,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17784173_jpg.rf.64d41df1d30ae75c17bdb716601c0ce9.jpg,shirt,xkcd:pastel blue,shortpants,xkcd:almost black,11,-1
..\object_detection\ClothesCategory_v9\test\images\17813212_blurr_jpg.rf.ac911053ec1d746bf4f5622bd0705223.jpg,shortsleeve,xkcd:light grey,shortpants,xkcd:cool grey,-1,19
..\object_detection\ClothesCategory_v9\test\images\17816095_blurr_jpg.rf.f80d3fe30d771a292b6faef086267826.jpg,shortsleeve,xkcd:soft blue,shortpants,xkcd:black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17829959_blurr_jpg.rf.970a6573c51285a4b76f1f48c8272c2b.jpg,shortsleeve,xkcd:periwinkle blue,shortpants,xkcd:bluey grey,68,19
..\object_detection\ClothesCategory_v9\test\images\17855385_jpg.rf.4cfdb58c3e2c7bf883ceab273227f155.jpg,longsleeve,xkcd:silver,shortpants,xkcd:marine,-1,36
..\object_detection\ClothesCategory_v9\test\images\17864899_jpg.rf.b4e3279504cab3eb8375be30ef81b9f7.jpg,mtm,xkcd:very dark brown,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17895259_jpg.rf.f425cbcf1aa9ab643c13b8c069ba1bb4.jpg,shortsleeve,xkcd:black,shortpants,xkcd:dust,-1,14
..\object_detection\ClothesCategory_v9\test\images\17895575_jpg.rf.fc8420c3ac71f53f15adb410c84b9978.jpg,shirt,xkcd:bluish grey,shortpants,xkcd:black,67,-1
..\object_detection\ClothesCategory_v9\test\images\17906869_jpg.rf.2e584387700568651230dcaa67f6e122.jpg,blazer,xkcd:light grey,denimpants,xkcd:light blue grey,-1,76
..\object_detection\ClothesCategory_v9\test\images\17914961_blurr_jpg.rf.87fa6faa84f47ae0e2643aaef0307981.jpg,shirt,xkcd:light blue grey,shortpants,xkcd:almost black,76,-1
..\object_detection\ClothesCategory_v9\test\images\17928134_jpg.rf.660d8262fd6aefa9fe2fa53d431998da.jpg,shirt,xkcd:dark,shortpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17936528_blurr_jpg.rf.8270b4e169080c5f0bc0e346de1954b2.jpg,jacket,xkcd:almost black,skirt,xkcd:milk chocolate,-1,7
..\object_detection\ClothesCategory_v9\test\images\17942838_blurr_jpg.rf.e1efd39f1f9a797483414eddf4b075a6.jpg,shortsleeve,xkcd:light blue grey,shortpants,xkcd:bluish grey,76,67
..\object_detection\ClothesCategory_v9\test\images\17949889_jpg.rf.ba15a08c5afc82f7789928da1ab60197.jpg,longsleeve,xkcd:silver,skirt,xkcd:pinkish grey,-1,-1
..\object_detection\ClothesCategory_v9\test\images\17970905_blurr_jpg.rf.db46a3a0e3af0acae7a5793dd6a44542.jpg,longsleeve,xkcd:silver,shortpants,xkcd:dark brown,-1,59
..\object_detection\ClothesCategory_v9\test\images\17986181_jpg.rf.e8cac634fbb257076b7a83f328a35cbc.jpg,hoodies,xkcd:dark,slacks,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\18003104_blurr_jpg.rf.58762bd41e42d4d03eec040b7a1367ef.jpg,longsleeve,xkcd:light blue grey,shortpants,xkcd:midnight,76,38
..\object_detection\ClothesCategory_v9\test\images\18012925_jpg.rf.fe26ba84fa959df0caf74f6caeee1c3d.jpg,mtm,xkcd:dark grey,shortpants,xkcd:charcoal,49,49
..\object_detection\ClothesCategory_v9\test\images\18023100_jpg.rf.5eb2f48a4858b52716ffd2f1d4925932.jpg,shortsleeve,xkcd:grey/blue,shortpants,xkcd:greyish blue,12,12
..\object_detection\ClothesCategory_v9\test\images\18025669_blurr_jpg.rf.3979acb7e5fa3bbe450c3f5c672ba469.jpg,shortsleeve,xkcd:heather,shortpants,xkcd:dark indigo,56,-1
..\object_detection\ClothesCategory_v9\test\images\18067188_jpg.rf.867e6657d3bbc3701d93d2130dcd49e7.jpg,shortsleeve,xkcd:cool grey,shortpants,xkcd:cool grey,19,19
..\object_detection\ClothesCategory_v9\test\images\18082621_jpg.rf.c88ff35ab343da1440e082c8342bd94d.jpg,longsleeve,xkcd:dark grey,skirt,xkcd:dark grey,49,49
..\object_detection\ClothesCategory_v9\test\images\18178940_jpg.rf.2b1176a34b2fa31b704030de72dc0168.jpg,padding,xkcd:charcoal grey,shortpants,xkcd:almost black,49,-1
..\object_detection\ClothesCategory_v9\test\images\18205172_jpg.rf.3ce1d557969fd122d4797b8a04e3a8fc.jpg,mtm,xkcd:evergreen,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\18217201_blurr_jpg.rf.dd99d70bbd71ae2de0799907078001fb.jpg,shirt,xkcd:black,shortpants,xkcd:light periwinkle,-1,11
..\object_detection\ClothesCategory_v9\test\images\18235523_jpg.rf.3f8a093b70f1140dbfdba0426d940a77.jpg,shortsleeve,xkcd:pale,cottonpants,xkcd:dark,9,-1
..\object_detection\ClothesCategory_v9\test\images\18245064_blurr_jpg.rf.939696876521b6bf6d7ffd830bcaa3fd.jpg,shortsleeve,xkcd:almost black,shortpants,xkcd:stone,-1,14
..\object_detection\ClothesCategory_v9\test\images\18276155_jpg.rf.6316de5150ea7deb019612a5d443bb4d.jpg,shortsleeve,xkcd:brownish grey,shortpants,xkcd:brownish grey,17,17
..\object_detection\ClothesCategory_v9\test\images\18288148_jpg.rf.04918f6fe01213ad66912c575bcc99db.jpg,shortsleeve,xkcd:black,shortpants,xkcd:brownish grey,-1,17
..\object_detection\ClothesCategory_v9\test\images\18299022_jpg.rf.b89055b7e84f7e5e911636ad8e3d7b4c.jpg,shirt,xkcd:bluegrey,shortpants,xkcd:dark,19,-1
..\object_detection\ClothesCategory_v9\test\images\18347969_jpg.rf.9fd17f34833feb9d6a4ba07f8924a5e2.jpg,shortsleeve,xkcd:ice,shortpants,xkcd:stone,0,14
..\object_detection\ClothesCategory_v9\test\images\18370783_blurr_jpg.rf.7c1f2c858bcb602f93933939f9e5390f.jpg,shortsleeve,xkcd:bluey grey,shortpants,xkcd:almost black,19,-1
..\object_detection\ClothesCategory_v9\test\images\18411639_jpg.rf.27857795692c6f8c25c9de9dbe13d62e.jpg,shortsleeve,xkcd:marine,shortpants,xkcd:pinkish grey,36,-1
..\object_detection\ClothesCategory_v9\test\images\18445391_blurr_jpg.rf.53bab811f241ae5b834072cf638378e5.jpg,shortsleeve,xkcd:grey brown,shortpants,xkcd:midnight,17,38
..\object_detection\ClothesCategory_v9\test\images\18462624_jpg.rf.1e2b8893f2f2b44f43486ec8892d8010.jpg,shortsleeve,xkcd:ice,shortpants,xkcd:light blue grey,0,76
..\object_detection\ClothesCategory_v9\test\images\18482537_blurr_jpg.rf.1adffad22327f5787e542bc6e21b05ac.jpg,mtm,xkcd:pale,shortpants,xkcd:pale,9,9
..\object_detection\ClothesCategory_v9\test\images\18487433_blurr_jpg.rf.1286d5707fa99e816cc1d204e6a58496.jpg,shortsleeve,xkcd:brownish red,shortpants,xkcd:grey,-1,70
..\object_detection\ClothesCategory_v9\test\images\18556138_blurr_jpg.rf.5730c96665a4bf638590726c2c116f86.jpg,shortsleeve,xkcd:black,shortpants,xkcd:medium grey,-1,21
..\object_detection\ClothesCategory_v9\test\images\18556895_jpg.rf.c83664209d1090d8640a7fcb8f1e7934.jpg,shortsleeve,xkcd:greyish,shortpants,xkcd:reddish grey,14,17
..\object_detection\ClothesCategory_v9\test\images\18559669_jpg.rf.074ac77c43bb16b589be149808c83983.jpg,shirt,xkcd:light grey blue,shortpants,xkcd:light grey,76,-1
..\object_detection\ClothesCategory_v9\test\images\18629804_blurr_jpg.rf.97010fa74dd091ba3a56a62d3d2ce78a.jpg,shortsleeve,xkcd:putty,shortpants,xkcd:tan brown,14,43
..\object_detection\ClothesCategory_v9\test\images\18636474_jpg.rf.7d4850b60affbda85692dc255c9dc5c8.jpg,longsleeve,xkcd:dark,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\18691564_jpg.rf.b16d710c6008f2bb665a4ceeac989a81.jpg,shortsleeve,xkcd:charcoal,skirt,xkcd:steel,49,12
..\object_detection\ClothesCategory_v9\test\images\18770407_jpg.rf.2c9560513d362a51e8ec1139f9592a89.jpg,coat,xkcd:almost black,denimpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\18792610_jpg.rf.047e11fac88a965f650fec950dbbb8ed.jpg,shortsleeve,xkcd:light grey,shortpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\18816205_jpg.rf.f897534ea2039070c79edd3d5c4fcf0c.jpg,shirt,xkcd:bluey grey,shortpants,xkcd:dark brown,19,59
..\object_detection\ClothesCategory_v9\test\images\18822920_blurr_jpg.rf.391c868e195c248192e8603643c8832d.jpg,shortsleeve,xkcd:almost black,shortpants,xkcd:dirt brown,-1,17
..\object_detection\ClothesCategory_v9\test\images\18912324_blurr_jpg.rf.f3241ccb7f9a2fd6bd92abd9442fac07.jpg,shirt,xkcd:cool grey,shortpants,xkcd:dark,19,-1
..\object_detection\ClothesCategory_v9\test\images\18962799_jpg.rf.99046a5c5bce2dd8159c04e5976fb9aa.jpg,shortsleeve,xkcd:almost black,shortpants,xkcd:greyish brown,-1,17
..\object_detection\ClothesCategory_v9\test\images\18982351_blurr_jpg.rf.405b81339e391a941739aa526d7f255b.jpg,shortsleeve,xkcd:silver,shortpants,xkcd:purplish grey,-1,21
..\object_detection\ClothesCategory_v9\test\images\19047823_jpg.rf.6eae98cc7da9b18bbf717842d3ca635f.jpg,shortsleeve,xkcd:medium grey,shortpants,xkcd:almost black,21,-1
..\object_detection\ClothesCategory_v9\test\images\19123288_blurr_jpg.rf.685e4ab6541d0191ba9d21e92cdfd223.jpg,shortsleeve,xkcd:light grey blue,shortpants,xkcd:dark taupe,76,17
..\object_detection\ClothesCategory_v9\test\images\19147822_jpg.rf.08eed9455a56d58f467375f3cf077eb5.jpg,padding,xkcd:silver,cottonpants,xkcd:warm grey,-1,70
..\object_detection\ClothesCategory_v9\test\images\19171515_jpg.rf.234ed95cee5156ad348713a59c04998a.jpg,longsleeve,xkcd:dark,denimpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\19186474_jpg.rf.2d6f6330297bffaa8302d2178dd3d553.jpg,shortsleeve,xkcd:almost black,skirt,xkcd:silver,-1,-1
..\object_detection\ClothesCategory_v9\test\images\19188285_jpg.rf.e6c3cb208d40900840b38ff62b386f74.jpg,shortsleeve,xkcd:almost black,shortpants,xkcd:cloudy blue,-1,76
..\object_detection\ClothesCategory_v9\test\images\19218293_blurr_jpg.rf.dd16f1b2696cb751c44f14f253c29ef9.jpg,shirt,xkcd:light blue grey,shortpants,xkcd:almost black,76,-1
..\object_detection\ClothesCategory_v9\test\images\19230827_blurr_jpg.rf.0f502fd4bcb6849561d942cb7e6de71c.jpg,longsleeve,xkcd:almost black,skirt,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\19252842_jpg.rf.9f7293193d6edbabee6541ea36b6718b.jpg,shortsleeve,xkcd:light blue grey,denimpants,xkcd:dark,76,-1
..\object_detection\ClothesCategory_v9\test\images\19292912_jpg.rf.325028c2575acb52f1668d61672e3416.jpg,longsleeve,xkcd:grey,denimpants,xkcd:almost black,70,-1
..\object_detection\ClothesCategory_v9\test\images\19299748_jpg.rf.4368570aef55642830dfd6f67a2326b0.jpg,shortsleeve,xkcd:almost black,cottonpants,xkcd:grey,-1,70
..\object_detection\ClothesCategory_v9\test\images\19325765_jpg.rf.1ecd0cd4c2c7588447ffabd7c8cee416.jpg,jacket,xkcd:dusky purple,skirt,xkcd:light grey,21,-1
..\object_detection\ClothesCategory_v9\test\images\19392353_jpg.rf.450b97afb3d395b6f131c79b4ff085ee.jpg,cardigan,xkcd:almost black,cottonpants,xkcd:very dark brown,-1,-1
..\object_detection\ClothesCategory_v9\test\images\19472624_jpg.rf.9b30e60c6f5f84f2298a49c872338f03.jpg,mtm,xkcd:dark brown,shortpants,xkcd:dark brown,59,59
..\object_detection\ClothesCategory_v9\test\images\19478333_jpg.rf.5ecbecc99c4753062828e096b9c3f5a1.jpg,cardigan,xkcd:charcoal grey,skirt,xkcd:brown grey,49,17
..\object_detection\ClothesCategory_v9\test\images\19529104_blurr_jpg.rf.5e6d159912e6929acf3a6d3a7d3e4693.jpg,mtm,xkcd:silver,skirt,xkcd:brown grey,-1,17
..\object_detection\ClothesCategory_v9\test\images\19569435_jpg.rf.319edd8ff264af7c04f7b70e8e647154.jpg,zipup,xkcd:dark,skirt,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\19590066_jpg.rf.69b84e4e69d6cb353b07ba22da142836.jpg,mtm,xkcd:almost black,cottonpants,xkcd:dark brown,-1,59
..\object_detection\ClothesCategory_v9\test\images\19614536_jpg.rf.b26cc88d5c2e6531e81d48d6c3f9086c.jpg,cardigan,xkcd:black,denimpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\19680114_jpg.rf.eda396369ffec87529592334012d5154.jpg,cardigan,xkcd:aubergine,slacks,xkcd:almost black,3,-1
..\object_detection\ClothesCategory_v9\test\images\19720407_jpg.rf.9125d4a6a48c2c38703b063b85ecb7e6.jpg,sweater,xkcd:almost black,shortpants,xkcd:purplish grey,-1,21
..\object_detection\ClothesCategory_v9\test\images\19768243_blurr_jpg.rf.67b0f4b43f65c4d8f3b311c9597ea4ec.jpg,mtm,xkcd:steel,slacks,xkcd:almost black,12,-1
..\object_detection\ClothesCategory_v9\test\images\19793249_blurr_jpg.rf.520850bf6519102923cea1ac3e17439a.jpg,shortsleeve,xkcd:steel,shortpants,xkcd:navy,12,38
..\object_detection\ClothesCategory_v9\test\images\19837930_jpg.rf.7db454c30e601adbb27b0282a99c6a1c.jpg,hoodies,xkcd:silver,shortpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\19853915_jpg.rf.5a74e54bf38fb5d27c789a0364b7be8a.jpg,mtm,xkcd:almost black,shortpants,xkcd:dark grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\19865473_jpg.rf.ebe2963f2faf944955840b20acb3f080.jpg,jacket,xkcd:plum,denimpants,xkcd:black,6,-1
..\object_detection\ClothesCategory_v9\test\images\19880704_jpg.rf.73e3a3084167db2ce4ac3d34d9334d10.jpg,shortsleeve,xkcd:cloudy blue,shortpants,xkcd:cloudy blue,76,76
..\object_detection\ClothesCategory_v9\test\images\19909813_jpg.rf.91224bd9fa26ad4300052388a3a31a74.jpg,sweater,xkcd:charcoal grey,skirt,xkcd:almost black,49,-1
..\object_detection\ClothesCategory_v9\test\images\19927736_blurr_jpg.rf.f8120b7cfdccd8b535f65efdb5f16a91.jpg,cardigan,xkcd:almost black,denimpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\19931550_blurr_jpg.rf.a5b00d4df5e96a71d491d54142a43ee9.jpg,cardigan,xkcd:steel grey,denimpants,xkcd:almost black,12,-1
..\object_detection\ClothesCategory_v9\test\images\19950873_jpg.rf.6876544decf0fb0ec5030f43af5df8c8.jpg,longsleeve,xkcd:light grey,skirt,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\20010314_jpg.rf.0a690c85287f17c1296cc9d1eee99d06.jpg,mtm,xkcd:brown grey,shortpants,xkcd:gunmetal,17,36
..\object_detection\ClothesCategory_v9\test\images\20026907_blurr_jpg.rf.d4c5bac30d62508949b8f46409c3fe16.jpg,mtm,xkcd:purple brown,slacks,xkcd:almost black,15,-1
..\object_detection\ClothesCategory_v9\test\images\20043959_jpg.rf.a428d6523b80c96371724e025d86b30b.jpg,mtm,xkcd:dark blue grey,slacks,xkcd:dark,72,-1
..\object_detection\ClothesCategory_v9\test\images\20049992_jpg.rf.44afea52bf2064e605aec2aec9693ab8.jpg,shortsleeve,xkcd:light grey,shortpants,xkcd:medium grey,-1,21
..\object_detection\ClothesCategory_v9\test\images\20086692_jpg.rf.3dbd657b649407dc9625583c9cef88bd.jpg,mtm,xkcd:cool grey,skirt,xkcd:silver,19,-1
..\object_detection\ClothesCategory_v9\test\images\20090669_blurr_jpg.rf.743b8eef67e21d747453711ec18c9a2e.jpg,shortsleeve,xkcd:almost black,skirt,xkcd:charcoal,-1,49
..\object_detection\ClothesCategory_v9\test\images\20100307_jpg.rf.e5d955ae8694133779f9f5fc6a168388.jpg,shortsleeve,xkcd:chocolate,shortpants,xkcd:pinkish grey,59,-1
..\object_detection\ClothesCategory_v9\test\images\20197767_jpg.rf.3ae12ff7ad3b437ac292e92b0d42a2b3.jpg,mtm,xkcd:charcoal grey,denimpants,xkcd:slate grey,49,36
..\object_detection\ClothesCategory_v9\test\images\20199801_blurr_jpg.rf.81e5b1686f4bcb04bc09ac27a94b033e.jpg,shortsleeve,xkcd:black,skirt,xkcd:dark grey blue,-1,72
..\object_detection\ClothesCategory_v9\test\images\20217878_jpg.rf.60bd15494e03cbb522843c83b28c8bd5.jpg,shortsleeve,xkcd:almost black,trainingpants,xkcd:medium grey,-1,21
..\object_detection\ClothesCategory_v9\test\images\20253013_jpg.rf.d4fd11f95ba95482a2d27ab00f21e4ae.jpg,jacket,xkcd:black,denimpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\20314013_jpg.rf.6ae38c8f1123df678f3dda36b145768d.jpg,longsleeve,xkcd:brown grey,skirt,xkcd:purple brown,17,15
..\object_detection\ClothesCategory_v9\test\images\20327107_blurr_jpg.rf.9140480ff8e8287d1387c175c9952657.jpg,cardigan,xkcd:light grey,slacks,xkcd:light grey,-1,-1
..\object_detection\ClothesCategory_v9\test\images\20338130_blurr_jpg.rf.1ddced814189bf60d45d3e8ebf9d80ff.jpg,shortsleeve,xkcd:pale lavender,denimpants,xkcd:black,27,-1
..\object_detection\ClothesCategory_v9\test\images\20365135_jpg.rf.a05efcdf0cd6e435ff0db23c8c81ea7a.jpg,hoodies,xkcd:charcoal,slacks,xkcd:almost black,49,-1
..\object_detection\ClothesCategory_v9\test\images\20382671_jpg.rf.a33d45acffbae7ccb617a0f1c60050fe.jpg,hoodies,xkcd:almost black,shortpants,xkcd:pinkish grey,-1,-1
..\object_detection\ClothesCategory_v9\test\images\20495431_blurr_jpg.rf.db8e3f5e75b8932497b4980e8d41afa6.jpg,cardigan,xkcd:midnight,skirt,xkcd:midnight,38,38
